case_id,record_id,title,case_group,boundary_type,official_boundary_label,second_evaluation_boundary_label,agreement_status,assessment_status,adjudication_required,official_type,second_evaluation_type,official_tier,second_evaluation_tier,official_archetype,second_evaluation_archetype,confidence,note
SE-01,A071,Toward a unified agentic framework for regime-aware portfolio optimization...,required,A-vs-non-A,A,A,agree,boundary_confirmed,no,A,A,2,2,Substrate,Context-decision,medium,Independent review supports the current boundary label.
SE-02,A073,LLM-Guided Evolutionary Strategy Generation for Quantitative Trading,required,A-vs-non-A,A,non-A,disagree,boundary_difference,yes,A,T,1,1,Artifact search,Artifact search,high,Independent review differs on the A-vs-non-A boundary; adjudication required before any label change.
SE-03,A074,GWise: A Graph-Structured Multi-Agent Framework for Service-Oriented and Ge...,required,A-vs-non-A,A,A,unresolved,requires_adjudication,yes,A,A,1,1,Substrate,Substrate,needs_full_text_review,Boundary retained for corpus reporting; adjudication required before any label change.
SE-04,A081,Multi-Agent LLM Framework for Formulaic Alpha Generation and Selection in Q...,required,A-vs-non-A,A,A,agree,boundary_confirmed,no,A,A,1,1,Artifact search,Artifact search,medium,Independent review supports the current boundary label.
SE-05,A043,FinRL-Meta: Market Environments and Benchmarks for Data-Driven Financial Re...,required,A-vs-non-A,non-A,non-A,unresolved,requires_adjudication,yes,N,N,1,1,Substrate,Substrate,needs_full_text_review,Boundary retained for corpus reporting; adjudication required before any label change.
SE-06,A053,Automated Trading Framework Using LLM-Driven Features and Deep Reinforcemen...,required,Tier1-vs-Tier2,2,1,disagree,boundary_difference,yes,N,N,2,1,Context-decision,Context-decision,medium,Independent review differs on the Tier1-vs-Tier2 boundary; adjudication required before any label change.
SE-07,A052,Adaptive and Explainable Margin Trading via Large Language Models on Portfo...,required,Tier1-vs-Tier2,2,1,disagree,boundary_difference,yes,N,T,2,1,Context-decision,Context-decision,high,Independent review differs on the Tier1-vs-Tier2 boundary; adjudication required before any label change.
SE-08,A024,TradingAgents: Multi-Agents LLM Financial Trading Framework,required,Tier1-vs-Tier2,1,1,agree,boundary_confirmed,no,A,A,1,1,Role-decomposed,Role-decomposed,high,Independent review supports the current boundary label.
SE-09,A073,LLM-Guided Evolutionary Strategy Generation for Quantitative Trading,required,Tier1-vs-Tier2,1,1,agree,boundary_confirmed,no,A,T,1,1,Artifact search,Artifact search,high,Independent review supports the current boundary label.
SE-10,A077,Toward Expert Investment Teams: A Multi-Agent LLM System with Fine-Grained...,required,Tier1-vs-Tier2,1,2,disagree,boundary_difference,yes,A,A,1,2,Role-decomposed,Role-decomposed,high,Independent review differs on the Tier1-vs-Tier2 boundary; adjudication required before any label change.
SE-11,A081,Multi-Agent LLM Framework for Formulaic Alpha Generation and Selection in Q...,required,Tier1-vs-Tier2,1,1,agree,boundary_confirmed,no,A,A,1,1,Artifact search,Artifact search,medium,Independent review supports the current boundary label.
SE-12,A082,StockBench: Can LLM Agents Trade Stocks Profitably In Real-world Markets?,required,Tier1-vs-Tier2,1,0,disagree,boundary_difference,yes,T,N,1,0,Substrate,Substrate,high,Independent review differs on the Tier1-vs-Tier2 boundary; adjudication required before any label change.
SE-13,A062,Parallel Market Environments for FinRL Contests,optional,Tier1-vs-Tier2,2,0,disagree,boundary_difference,yes,N,T,2,0,Substrate,Substrate,high,Independent review differs on the Tier1-vs-Tier2 boundary; adjudication required before any label change.
SE-14,A064,FinRL Contests: Data-Driven Financial Reinforcement Learning Agents for Sto...,optional,Tier1-vs-Tier2,2,0,disagree,boundary_difference,yes,N,N,2,0,Substrate,Substrate,medium,Independent review differs on the Tier1-vs-Tier2 boundary; adjudication required before any label change.
SE-15,A080,Adaptive Alpha Weighting with PPO: Enhancing Prompt-Based LLM-Generated Alp...,optional,Tier1-vs-Tier2,2,1,disagree,boundary_difference,yes,N,T,2,1,Artifact search,Artifact search,medium,Independent review differs on the Tier1-vs-Tier2 boundary; adjudication required before any label change.
