Search,Title,Abstract,Link,Authors,Source,Affiliation,Rejeitado
SSRN,ProFiT: Program Search for Financial Trading,"We present a framework called Program Search for Financial Trading (ProFiT), a large-language-model-driven evolutionary search for automated discovery and continual improvement of algorithmic trading strategies in financial markets. These markets are inherently nonstationary and thus resist static modeling or prediction. ProFiT integrates code-level mutation, self-analysis, and walk-forward validation within a closed feedback loop, enabling trading strategies to autonomously evolve in response to changing market conditions. ProFiT consistently outperforms both random and Buy-and-Hold strategies, which are used as baselines, across seven liquid futures assets. Specifically, it surpasses Buy-and-Hold in over 77% of all evolved strategy-asset combinations, outperforms random in 100% of cases, and furthermore achieves improvements over the initial seed strategies in more than 94% of runs. Collectively, these results demonstrate that the ProFiT framework yields robust, statistically significant, and risk-adjusted gains across diverse assets and market regimes, establishing a practical pathway toward openended, self-improving algorithmic trading systems.",ProFiT: Program Search for Financial Trading,"Matthew Siper, Ahmed Khalifa, Lisa Soros, Muhammad Nasir and Julian Togelius",,; University of Malta; Columbia University - Barnard College; Wits University; New York University (NYU),ok
SSRN,Synthetic Managerial Agents: A Multi-LLM Ensemble Framework for Computational Agent-Based Theory Exploration,"We introduce Synthetic Managerial Agents (SMA), a novel computational methodology that advances agentbased modeling (ABM) by replacing rigid behavioral rules with Large Language Model (LLM)-powered agents capable of flexible theoretical reasoning. Traditional ABM faces a fundamental behavioral specification problem: translating nuanced organizational theories into explicit algorithmic rules strips away the interpretive flexibility that makes theories valuable in practice. SMA addresses this limitation by encoding theoretical frameworks as natural language prompts, enabling agents to reason contextually rather than follow predetermined decision trees. We formalize SMA through a mathematical framework defining agents as tuples A = ⟨S, T, E, D, R⟩ with explicit encoding fidelity assumptions and ensemble robustness properties. The methodology enables theoretical exploration and hypothesis generation,systematically mapping how different theoretical frameworks predict outcomes across varied conditions to identify promising hypotheses for subsequent empirical validation. We demonstrate SMA through two illustrative simulations: market entry decisions across uncertainty levels and team composition across task types. Using ensemble predictions from five LLMs (GPT-4o, Claude-3.5-Sonnet, Grok-3, Gemini-2.0-Flash, DeepSeek-V3), we show how LLM-ABM reveals boundary conditions and generates testable hypotheses about theoretical applicability. The methodology achieves three contributions to computational organizational research: (1) solving ABM's behavioral specification problem through natural language theoretical encoding, (2) enabling systematic exploration of theoretical boundary conditions through controlled environmental variation, and (3) providing multiarchitecture validation that distinguishes robust theoretical patterns from model-specific artifacts. SMA positions LLM-powered agents as a methodological complement to traditional ABM and empirical research, generating synthetic data for hypothesis development rather than replacing human-subject studies.",Synthetic Managerial Agents: A Multi-LLM Ensemble Framework for Computational Agent-Based Theory Exploration,"Dequn Teng, Chen Ye and Veronica Martinez",,University of Cambridge; University of Cambridge; University of Sussex Business School,ok
SSRN,Extending the FAIR Framework: Financial Agentic Systems,"This paper extends our Finance-Aware Implementation and Remediation (FAIR) framework by addressing a critical gap in current agentic system design: the temporal challenges inherent in real-world financial operations. While existing demonstrations focus on static tasks like research reports, financial markets require systems that adapt to continuously changing conditions-from equity trading execution to supply chain procurement. We provide practical implementation guidelines for financial institutions adopting Large Language Models (LLMs) and autonomous agentic systems, with particular emphasis on temporal safeguards that prevent stale data dependencies, execution drift, and cascading temporal failures. The enhanced framework introduces conditional execution protocols, dynamic re-validation mechanisms, and graceful degradation strategies that mirror successful approaches in autonomous vehicles and algorithmic trading",Extending the FAIR Framework: Financial Agentic Systems,Miquel Noguer I Alonso and harry mendell,,Artificial Intelligence in Finance Institute; Federal Reserve Bank New York,ok (não é trading)
SSRN,Agentic Artificial Intelligence in Finance: A Comprehensive Survey,"The emergence of agentic artificial intelligence (AI) represents a fundamental transformation in financial markets, characterized by autonomous systems capable of reasoning, planning, and adaptive decision-making with minimal human intervention. This comprehensive survey synthesizes recent advances in agentic AI across multiple dimensions of financial operations, including system architecture, market applications, regulatory frameworks, and systemic implications. We examine how agentic AI differs from traditional algorithmic trading",Agentic Artificial Intelligence in Finance: A Comprehensive Survey,"Irene Aldridge, Jolie An, Riley Burke, Michael Cao, Chia-Yi Chien, Kexin Deng, Ruipeng Deng, Yichen Gao, Olivia Guo, Shunran He, Zheng Li, George Lin, Weihang Lin, Fanyi Lyu, Kwunfung Ng, Qi Wang, Hanxi Xiao, Dora Xu, Yuanyuan Xue, Sheng Zhang, Sirui Zhang, Yun Zhang, Sirui Zhao, Xiaolong Zhao, Yihan Zhao and Waner Zheng",,Cornell University; Cornell University - Cornell Tech NYC; ; Cornell University; Cornell University - Cornell Tech NYC; ; Cornell University - Cornell Tech NYC; ; Cornell University - Cornell Tech NYC; Cornell University - Cornell Tech NYC; Cornell University - Cornell Tech NYC; ; ; ; ; ; ; ; ; Cornell University - Cornell Tech NYC; ; ; ; ; ;,ok
SSRN,A Comprehensive Survey of AI Agent Frameworks and Their Applications in Financial Services,"This paper surveys the landscape of AI agent frameworks, highlights their core features and differences, and explores their applications in financial services. We synthesize insights from recent industry reports, academic research, and technical blog posts, focusing on frameworks such as CrewAI, LangGraph, LlamaIndex, and others. We also discuss the challenges and opportunities of deploying agentic AI in production environments, with an emphasis on financial trading, investment analysis, and decision support. We analyze the rapidly evolving landscape of agentic AI systems, focusing on their architecture, capabilities, and practical implementations in banking, trading, and risk management. The study examines prominent frameworks including LangGraph for stateful agent orchestration, CrewAI for collaborative multi-agent workflows, and AutoGen for conversational agent systems, alongside industry platforms like IBM watsonx and NVIDIA NIM. This paper presents a comprehensive survey of AI agent frameworks and their transformative impact on the financial services industry. The study examines both technical frameworks (LangGraph, CrewAI, AutoGen, etc.) and practical implementations in financial institutions. We highlight productivity gains (up to 80% time reduction in data tasks), risk management improvements, and workforce transformation challenges. The paper concludes with recommendations for financial institutions adopting agentic AI solutions. Our analysis reveals three key findings: (1) specialized agent frameworks achieve 50-80% productivity gains in financial data tasks compared to traditional approaches, (2) multi-agent systems demonstrate particular promise in complex domains like algorithmic trading and fraud detection, and (3) successful deployment requires addressing critical challenges in workforce upskilling, risk alignment, and regulatory compliance. The paper provides a theoretical foundation for agentic AI in finance, introducing formal models for agent design patterns, multimodal fusion, and market microfoundations. We further present a summary of several evaluation frameworks for assessing agent performance across financial use cases, including portfolio optimization and AML compliance. The study concludes with recommendations for financial institutions adopting agentic AI, emphasizing the need for standardized architectures, robust testing protocols, and hybrid human-AI workflows.",A Comprehensive Survey of AI Agent Frameworks and Their Applications in Financial Services,Satyadhar Joshi,,Bar-Ilan University,ok
ScienceDirect,ChronosRL: embeddings-based reinforcement learning agent for financial trading,"ChronosRL is a reinforcement learning (RL) framework for cryptocurrency trading that integrates transformer-generated embed-dings from the Chronos model. By leveraging pre-trained embeddings that capture complex temporal dependencies and nonlinear patterns, ChronosRL addresses the limitations of handcrafted feature-based strategies. Experiments across six cryptocurrency pairs over fve months show that ChronosRL achieves a mean proft of 102% with a 79% standard deviation, outperforming baselines such as Buy and Hold and Moving Average Bollinger Bands. Operating in a zero-shot setting without fine-tuning, ChronosRL demonstrates strong generalization capabilities. These findings highlight the potential of transformer-based embeddings to enhance RL performance in volatile financial environments, bridging advances in sequential representation learning and algorithmic trading.",10.1016/j.procs.2025.07.132,Adriano Marabuco de A. Lima and Adriano Lorena Oliveira and Cleber Zanchettin,Procedia Computer Science,"Foundational Models, Time Series, Reinforcement Learning, Embeddings, Trading",ok
ScienceDirect,Complex forecasting and investment strategy optimization via chain-of-thought of large language models,"This paper pioneers the application of chain-of-thought (CoT) prompting in large language models (LLMs) for financial forecasting and portfolio optimization. Leveraging anonymized financial statements from 608 Chinese A-share listed companies (2010–2023), we benchmark ChatGPT 4.0 against human analysts in earnings direction prediction. The CoT-enhanced model achieved superior accuracy (64.35% vs. 58.37%) and generated a 17.14% alpha with a Sharpe ratio of 1.5959 in backtests, demonstrating LLMs’ capacity to automate financial reasoning while reducing reliance on specialized expertise. Our findings bridge AI and quantitative finance by validating LLMs’ cross-domain adaptability using purely numerical data, offering practical implications for AI-driven investment decision systems.",10.1016/j.eswa.2025.129913,Meiqun Yin and Mengzhu Guo,Expert Systems with Applications,"Large language models, Chain-of-thought, Financial forecasting, Portfolio optimization, Quantitative finance",ok
IEEE,Large Investment Model,"Traditional quantitative investment research is encountering diminishing returns alongside rising labor and time costs. To overcome these challenges, we introduce the large investment model (LIM), a novel research paradigm designed to enhance both performance and efficiency at scale. LIM employs end-to-end learning and universal modeling to create an upstream foundation model, which is capable of autonomously learning comprehensive signal patterns from diverse financial data spanning multiple exchanges, instruments, and frequencies. These “global patterns” are subsequently transferred to downstream strategy modeling, optimizing performance for specific tasks. We detail the system architecture design of LIM, address the technical challenges inherent in this approach, and outline potential directions for future research.",10.1631/FITEE.2500268,J. Guo; H. -Y. Shum,Frontiers of Information Technology & Electronic Engineering,"IDEA Research, International Digital Economy Academy, Shenzhen, China; IDEA Research, International Digital Economy Academy, Shenzhen, China",ok
IEEE,Sentiment-Aware Portfolio Optimization: CVaR-Based Diversification With Deep Reinforcement Learning,"This paper presents an innovative portfolio optimization framework that synergistically integrates CVaR-based diversification with Deep Reinforcement Learning (DRL) and sentiment analysis from a Large Language Model (LLM). Traditional optimization methods, such as Mean-Variance Optimization (MVO) and Most Diversified Portfolio (MDP) strategies, often fall short in capturing tail risks and adapting to dynamic market conditions. In contrast, our approach employs the Deep Deterministic Policy Gradient (DDPG) DRL algorithm to dynamically adjust asset allocations taking transaction costs into account while explicitly managing downside risk via Conditional Value-at-Risk (CVaR). To further enhance the decision-making process, sentiment scores derived from the FinBERT LLM are incorporated into the state space, enabling the model to capture qualitative market signals and improve risk-adjusted performance. Empirical evaluations reveal that our portfolio, the DRL Sentiment-Aware CVaR Ratio Portfolio, outperforms benchmark strategies, including Equally Weighted, Minimum CVaR, and traditional MDP portfolios, by achieving higher annualized returns, improved Sharpe and Omega ratios, and elevated Jensen’s alpha. These promising results underscore the potential of combining robust risk management measures for portfolio diversification with advanced machine learning techniques and sentiment analysis to navigate the complexities of contemporary financial markets. Future research directions include extending the framework to multi-asset classes, integrating additional alternative data sources, and exploring alternative DRL algorithms to further enhance performance.",10.1109/ACCESS.2025.3624652,L. A. Mantshimuli,IEEE Access,"Department of Finance and Investment Management, College of Business and Economics, University of Johannesburg, Johannesburg, South Africa",ok
IEEE,FinReasoner: A Lightweight LLM Framework for Financial Forecasting,"This study addresses the specific research problem that current large language models (LLMs) possess significant limitations in financial forecasting., notably their ineffective fusion of multi-dimensional technical indicators and lack of interpretable decision-making processes. To overcome this., the study is designed with a clear step-by-step methodology: First., we propose FinReasoner., a lightweight LLM framework based on deep ensemble distillation and chain-of-thought fine-tuning. Its design involves (1) leveraging two complementary teacher models to generate high-quality reasoning samples through structured prompts., and (2) employing the DoRA technique for efficient fine-tuning of a compact student model., thereby guiding it through a complete reasoning process from indicator analysis to final decision. The major experimental findings on the SSE 50 index demonstrate a quantified and significant improvement., with an annualized return of 84.26% and a maximum drawdown of 6.29%., outperforming state-of-the-art benchmarks. However., the proposed solution has limitations., including restricted validation to the SSE 50 index., potential error propagation from teacher-generated data., and lack of optimization for real-time inference speed., which may affect generalizability and practical deployment in broader markets.",10.1109/ICCWAMTIP68645.2025.11352694,G. Wei; X. Yanping,2025 22nd International Computer Conference on Wavelet Active Media Technology and Information Processing (ICCWAMTIP),"Computer Science and Technology, University of Electronic Science and Technology of China, Chengdu, China; Computer Science and Technology, University of Electronic Science and Technology of China, Chengdu, China",ok
