record_id,title,underlying_model_label,underlying_model_release_type
A001,Integrating Stock Features and Global Information via Large Language Models for Enhanced Stock Return Prediction,LLM (n.s.),open-weight
A002,Complex forecasting and investment strategy optimization via chain-of-thought of large language models,LLM (n.s.),closed-source/API-based
A003,ChronosRL: embeddings-based reinforcement learning agent for financial trading,Chronos (DL),open-weight
A004,Decision-informed Neural Networks with Large Language Model Integration for Portfolio Optimization,LLM (n.s.),unspecified
A005,Large investment model,LLM (n.s.),unspecified
A006,FinReasoner: A Lightweight LLM Framework for Financial Forecasting,Distilled ens.,unspecified
A007,LLM-Enhanced Black-Litterman Portfolio Optimization,LLM (n.s.),open-weight
A008,Sentiment-Aware Portfolio Optimization: CVaR-Based Diversification With Deep Reinforcement Learning,FinBERT,open-weight
A009,AI Oracle: A Blockchain-Powered Oracle for LLMs and AI Agents,LLM (n.s.),unspecified
A010,A Comprehensive Survey of AI Agent Frameworks and Their Applications in Financial Services,LLM (n.s.),unspecified
A011,Extending the FAIR Framework: Financial Agentic Systems,LLM (n.s.),unspecified
A012,Agentic Artificial Intelligence in Finance: A Comprehensive Survey,n.s.,unspecified
A013,ProFiT: Program Search for Financial Trading,LLM (n.s.),unspecified
A014,Synthetic Managerial Agents: A Multi-LLM Ensemble Framework for Computational Agent-Based Theory Exploration,GPT-4,closed-source/API-based
A015,EFS: Evolutionary Factor Searching for Sparse Portfolio Optimization Using Large Language Models,GPT-4,closed-source/API-based
A016,HARLF: Hierarchical Reinforcement Learning and Lightweight LLM-Driven Sentiment Integration for Financial Portfolio Optimization,FinBERT,open-weight
A017,Language Model Guided Reinforcement Learning in Quantitative Trading,GPT-4,closed-source/API-based
A018,Sentiment-Aware Mean-Variance Portfolio Optimization for Cryptocurrencies,Gemini,closed-source/API-based
A019,QuantAgent: Price-Driven Multi-Agent LLMs for High-Frequency Trading,LLM (n.s.),unspecified
A020,From Text to Returns: Using Large Language Models for Mutual Fund Portfolio Optimization and Risk-Adjusted Allocation,LLM (n.s.),open-weight
A021,WebCryptoAgent: Agentic Crypto Trading with Web Informatics,LLM (n.s.),closed-source/API-based
A022,TradingGPT: Multi-Agent System with Layered Memory and Distinct Characters for Enhanced Financial Trading Performance,LLM (n.s.),closed-source/API-based
A023,FinMem: A Performance-Enhanced LLM Trading Agent with Layered Memory and Character Design,GPT-4,mixed
A024,TradingAgents: Multi-Agents LLM Financial Trading Framework,LLM (n.s.),unspecified
A025,Alpha-GPT: Human-AI Interactive Alpha Mining for Quantitative Investment,GPT/Claude/Bard,closed-source/API-based
A026,QuantAgent: Seeking Holy Grail in Trading by Self-Improving Large Language Model,LLM (n.s.),unspecified
A027,BloombergGPT: A Large Language Model for Finance,BloombergGPT,open-weight
A028,FinGPT: Open-Source Financial Large Language Models,LLM (n.s.),unspecified
A029,Instruct-FinGPT: Financial Sentiment Analysis by Instruction Tuning of General-Purpose Large Language Models,LLaMA-7B (SFT),mixed
A030,Alpha-GPT 2.0: Human-in-the-Loop AI for Quantitative Investment,LLM (n.s.),unspecified
A031,Evolving Financial Trading Strategies with Vectorial Genetic Programming,n.s.,unspecified
A032,Navigating the Alpha Jungle: An LLM-Powered MCTS Framework for Formulaic Factor Mining,GPT-4,closed-source/API-based
A033,"PIXIU: A Large Language Model, Instruction Data and Evaluation Benchmark for Finance",LLM (n.s.),unspecified
A034,Qlib: An AI-oriented Quantitative Investment Platform,n.s.,unspecified
A035,Reflexion: Language Agents with Verbal Reinforcement Learning,n.s.,unspecified
A036,"BBT-Fin: Comprehensive Construction of Chinese Financial Domain Pre-trained Language Model, Corpus and Benchmark",BBT-FinT5,open-weight
A037,"A Survey of Large Language Models for Financial Applications: Progress, Prospects and Challenges",LLM (n.s.),unspecified
A038,Temporal Data Meets LLM: Explainable Financial Time Series Forecasting,GPT-4,mixed
A039,AutoAlpha: an Efficient Hierarchical Evolutionary Algorithm for Mining Alpha Factors in Quantitative Investment,n.s.,unspecified
A040,XuanYuan 2.0: A Large Chinese Financial Chat Model with Hundreds of Billions Parameters,BLOOM-176B,open-weight
A041,Can Large Language Models Mine Interpretable Financial Factors More Effectively? A Neural-Symbolic Factor Mining Agent Model,LLM (n.s.),closed-source/API-based
A042,AlphaForge: A Framework to Mine and Dynamically Combine Formulaic Alpha Factors,n.s.,unspecified
A043,FinRL-Meta: Market Environments and Benchmarks for Data-Driven Financial Reinforcement Learning,n.s.,unspecified
A044,FinVis-GPT: A Multimodal Large Language Model for Financial Chart Analysis,GPT-4,closed-source/API-based
A045,GPT-Signal: Generative AI for Semi-automated Feature Engineering in the Alpha Research Process,GPT-4,closed-source/API-based
A046,FinTral: A Family of GPT-4 Level Multimodal Financial Large Language Models,Mistral-7B (SFT),open-weight
A047,Autonomous Sparse Mean-CVaR Portfolio Optimization,n.s.,unspecified
A048,Revolutionizing Finance with LLMs: An Overview of Applications and Insights,GPT-4,closed-source/API-based
A049,Advanced Deep Learning Techniques for Analyzing Earnings Call Transcripts: Methodologies and Applications,FinBERT,open-weight
A050,FinVision: A Multi-Agent Framework for Stock Market Prediction,gpt-4o-mini+o1,closed-source/API-based
A051,FinSphere: a real-time stock analysis agent with instruction-tuned large language models and domain-specific tool integration,Qwen2-72B (SFT),open-weight
A052,Adaptive and Explainable Margin Trading via Large Language Models on Portfolio Management,GPT-4,mixed
A053,Automated Trading Framework Using LLM-Driven Features and Deep Reinforcement Learning,FT transformer,unspecified
A054,"Large Language Model Agents for Investment Management: Foundations, Benchmarks, and Research Frontiers",n.s.,unspecified
A055,Language Model Orchestrated Financial Agents: An Open-Source Framework,LLM (n.s.),unspecified
A056,Stock portfolio selection based on risk appetite: Evidence from ChatGPT,GPT-4/4o/o1,closed-source/API-based
A058,Harnessing ChatGPT for predictive financial factor generation: A new frontier in financial analysis and forecasting,GPT-4,closed-source/API-based
A059,RA-CFGPT: Chinese financial assistant with retrieval-augmented large language model,CFGPT-7B,open-weight
A060,Finance-specific large language models: Advancing sentiment analysis and return prediction with LLaMA 2,LLM (n.s.),open-weight
A061,A Two-Stage Framework for Stock Price Prediction: LLM-Based Forecasting with Risk-Aware PPO Adjustment,LLM (n.s.),unspecified
A062,Parallel Market Environments for FinRL Contests,LLM (n.s.),open-weight
A063,Leveraging Large Language Models for Institutional Portfolio Management: Persona-Based Ensembles,GPT-4,closed-source/API-based
A064,FinRL Contests: Data‐Driven Financial Reinforcement Learning Agents for Stock and Crypto Trading,LLM (n.s.),unspecified
A065,Customized FinGPT Search Agents Using Foundation Models,GPT-4,mixed
A066,"Vision, Voice, and Text: Pioneering Zero-shot Multimodal LLMs for Sentiment-driven Investment",LLM (n.s.),unspecified
A067,FinMCP-Bench: Benchmarking LLM Agents for Real-World Financial Tool Use under the Model Context Protocol,Qwen3 family,open-weight
A068,Adaptive LLM-based multi-agent systems to enhance quantitative trading performance,LLM (n.s.),unspecified
A069,Can Large Language Models Effectively Process and Execute Financial Trading Instructions?,LLM (n.s.),unspecified
A070,AlphaAgent: LLM-Driven Alpha Mining with Regularized Exploration to Counteract Alpha Decay,LLM (n.s.),closed-source/API-based
A071,Toward a unified agentic framework for regime-aware portfolio optimization with LLM signals,FinBERT,open-weight
A072,FactorMAD: A Multi-Agent Debate Framework Based on Large Language Models for Interpretable Stock Alpha Factor Mining,LLM (n.s.),unspecified
A073,LLM-Guided Evolutionary Strategy Generation for Quantitative Trading,LLM (n.s.),unspecified
A074,GWise: A Graph-Structured Multi-Agent Framework for Service-Oriented and Generative-AI-Enabled Financial Trading Analytics,LLM (n.s.),unspecified
A075,TradingGroup: A Multi-Agent Trading System with Self-Reflection and Data-Synthesis,Qwen3 family,open-weight
A076,AlphaQuanter: An End-to-End Tool-Orchestrated Agentic Reinforcement Learning Framework for Stock Trading,LLM (n.s.),open-weight
A077,Toward Expert Investment Teams: A Multi-Agent LLM System with Fine-Grained Trading Tasks,n.s.,unspecified
A078,R&D-Agent-Quant: A Multi-Agent Framework for Data-Centric Factors and Model Joint Optimization,n.s.,unspecified
A079,Automate Strategy Finding with LLM in Quant Investment,LLM (n.s.),unspecified
A080,Adaptive Alpha Weighting with PPO: Enhancing Prompt-Based LLM-Generated Alphas in Quant Trading,n.s.,unspecified
A081,Multi-Agent LLM Framework for Formulaic Alpha Generation and Selection in Quantitative Trading,Gemini,mixed
A082,StockBench: Can LLM Agents Trade Stocks Profitably In Real-world Markets?,LLM (n.s.),unspecified
