candidate_uid,title,year,authors,venue,canonical_url,canonical_ids,source_pathways,source_names,selection_searches,selection_decisions,selection_rows,snowball_directions,snowball_decisions,snowball_seed_record_ids,snowball_rows,snowball_reason_samples,included_final,linked_record_id,primary_pathway,reconciliation_status
A001,Integrating Stock Features and Global Information via Large Language Models for Enhanced Stock Return Prediction,,Yujing Zhang; Xinyu Li; Xuan Wang; Hui Wang; Xiaodong Li,,https://arxiv.org/abs/2310.05627,arxiv:2310.05627 | url:https://arxiv.org/abs/2310.05627 | url:https://finllm.github.io/workshop/slides/hithinkroyalflush.pdf,seeded_search | snowballing,"FinLLM 2023 IJCAI 2023, Macau | snowballing",FinLLM,ok,1,backward,include,A021,1,Imported as A001,yes,A001,seeded_search+snowballing,included_reconciled_both
A002,Complex forecasting and investment strategy optimization via chain-of-thought of large language models,2026,Meiqun Yin and Mengzhu Guo,Expert Systems With Applications,https://doi.org/10.1016/j.eswa.2025.129913,doi:10.1016/j.eswa.2025.129913 | url:https://doi.org/10.1016/j.eswa.2025.129913,seeded_search,Expert Systems with Applications,ScienceDirect,ok,1,,,,0,,yes,A002,seeded_search,included_reconciled_seeded_search
A003,ChronosRL: embeddings-based reinforcement learning agent for financial trading,2025,Adriano Marabuco de A. Lima and Adriano Lorena Oliveira and Cleber Zanchettin,Procedia Computer Science (IJCNN 2025 workshop),https://doi.org/10.1016/j.procs.2025.07.132,doi:10.1016/j.procs.2025.07.132 | url:https://doi.org/10.1016/j.procs.2025.07.132,seeded_search,Procedia Computer Science,ScienceDirect,ok,1,,,,0,,yes,A003,seeded_search,included_reconciled_seeded_search
A004,Decision-informed Neural Networks with Large Language Model Integration for Portfolio Optimization,2025,"Yoontae Hwang, Yaxuan Kong, Stefan Zohren, Yongjae Lee",arXiv,,,seeded_search,Arxiv,Arxiv,ok,1,,,,0,,yes,A004,seeded_search,included_reconciled_seeded_search
A005,Large Investment Model,2025,J. Guo; H. -Y. Shum,Frontiers of Information Technology & Electronic Engineering,https://openalex.org/w4416303648,doi:10.1631/fitee.2500268 | url:https://doi.org/10.1631/fitee.2500268 | url:https://openalex.org/w4416303648,seeded_search | snowballing,Frontiers of Information Technology & Electronic Engineering | snowballing,IEEE,ok,1,forward,exclude,A025,1,Duplicate/already in corpus as A005 (Large investment model).,yes,A005,seeded_search+snowballing,included_reconciled_both
A006,FinReasoner: A Lightweight LLM Framework for Financial Forecasting,2025,G. Wei; X. Yanping,IEEE,,doi:10.1109/iccwamtip68645.2025.11352694,seeded_search,2025 22nd International Computer Conference on Wavelet Active Media Technology and Information Processing (ICCWAMTIP),IEEE,ok,1,,,,0,,yes,A006,seeded_search,included_reconciled_seeded_search
A007,LLM-Enhanced Black-Litterman Portfolio Optimization,2025,"Youngbin Lee, Yejin Kim, Juhyeong Kim, Suin Kim, Yongjae Lee",arXiv / CIKM'25 Workshop on FinAI,https://doi.org/10.48550/arxiv.2504.14345,doi:10.48550/arxiv.2504.14345 | url:https://doi.org/10.48550/arxiv.2504.14345,seeded_search,Arxiv,Arxiv,ok,1,,,,0,,yes,A007,seeded_search,included_reconciled_seeded_search
A008,Sentiment-Aware Portfolio Optimization: CVaR-Based Diversification With Deep Reinforcement Learning,2025,L. A. Mantshimuli,IEEE Access,https://doi.org/10.1109/access.2025.3624652,doi:10.1109/access.2025.3624652 | url:https://doi.org/10.1109/access.2025.3624652,seeded_search,IEEE Access,IEEE,ok,1,,,,0,,yes,A008,seeded_search,included_reconciled_seeded_search
A009,AI Oracle: A Blockchain-Powered Oracle for LLMs and AI Agents,2025,S. Fu; M. Xie,Crypto Valley Conference (CVC),https://doi.org/10.1109/cvc65719.2025.00007,doi:10.1109/cvc65719.2025.00007 | url:https://doi.org/10.1109/cvc65719.2025.00007,seeded_search,2025 Crypto Valley Conference (CVC),IEEE,ok,1,,,,0,,yes,A009,seeded_search,included_reconciled_seeded_search
A010,A Comprehensive Survey of AI Agent Frameworks and Their Applications in Financial Services,,Satyadhar Joshi,SSRN,,,seeded_search,SSRN,SSRN,ok,1,,,,0,,yes,A010,seeded_search,included_reconciled_seeded_search
