record_id,title,system_type,evidence_tier,model_family,release_type,allocation_pattern,sensitivity_evidence,specification_quality,note
A009,AI Oracle: A Blockchain-Powered Oracle for LLMs and AI Agents,T,1,unspecified,unspecified,unspecified,none,partial,"The paper specifies a verifiable oracle/governance substrate for LLM agents, but the underlying LLM layer is not the main experimental object."
A013,ProFiT: Program Search for Financial Trading,A,2,unspecified,unspecified,unspecified,none,vague,The paper is strong on evaluator-coupled program search but weak on naming or isolating the underlying model layer.
A015,EFS: Evolutionary Factor Searching for Sparse Portfolio Optimization Using Large Language Models,A,1,mixed,mixed,single-model homogeneous,weak mention,partial,Reported backends include GPT-4.1 and DeepSeek variants
A019,QuantAgent: Price-Driven Multi-Agent LLMs for High-Frequency Trading,T,1,general-purpose proprietary,closed-source/API-based,unspecified,none,partial,The recovered description points to an OpenAI-style API setup
A021,WebCryptoAgent: Agentic Crypto Trading with Web Informatics,A,1,general-purpose proprietary,closed-source/API-based,unspecified,explicit comparison,partial,Compares multiple proprietary underlying models and memory on/off but the deployed model stack is not fully pinned down.
A022,TradingGPT: Multi-Agent System with Layered Memory and Distinct Characters for Enhanced Financial Trading Performance,T,0,general-purpose proprietary,closed-source/API-based,single-model homogeneous,none,exact,The design names GPT-3.5-turbo clearly
A023,FinMem: A Performance-Enhanced LLM Trading Agent with Layered Memory and Character Design,T,1,mixed,mixed,single-model homogeneous,explicit comparison,exact,The same framework is evaluated across GPT and Llama-family models
A024,TradingAgents: Multi-Agents LLM Financial Trading Framework,A,1,unspecified,unspecified,unspecified,none,vague,The role architecture is central and useful
A025,Alpha-GPT: Human-AI Interactive Alpha Mining for Quantitative Investment,A,2,general-purpose proprietary,closed-source/API-based,unspecified,weak mention,partial,The workflow clearly depends on a capable proprietary LLM layer
A026,QuantAgent: Seeking Holy Grail in Trading by Self-Improving Large Language Model,A,2,unspecified,unspecified,unspecified,none,vague,The self-improving loop is well described while the underlying model layer remains thinly specified.
A030,Alpha-GPT 2.0: Human-in-the-Loop AI for Quantitative Investment,A,0,unspecified,unspecified,unspecified,none,vague,The architecture is broad and tool-rich
A032,Navigating the Alpha Jungle: An LLM-Powered MCTS Framework for Formulaic Factor Mining,A,2,mixed,mixed,single-model homogeneous,explicit comparison,exact,The paper reports multiple underlying models under equal API-cost comparisons
A041,Can Large Language Models Mine Interpretable Financial Factors More Effectively? A Neural-Symbolic Factor Mining Agent Model,A,1,general-purpose proprietary,closed-source/API-based,single-model homogeneous,explicit comparison,exact,FAMA reports direct comparisons across several proprietary underlying models
A045,GPT-Signal: Generative AI for Semi-automated Feature Engineering in the Alpha Research Process,T,1,general-purpose proprietary,closed-source/API-based,single-model homogeneous,none,exact,GPT-4 is named clearly
A050,FinVision: A Multi-Agent Framework for Stock Market Prediction,A,1,general-purpose proprietary,closed-source/API-based,multi-model heterogeneous,weak mention,exact,FinVision is the clearest current case of heterogeneous role-to-model allocation with GPT-4o-mini
A051,FinSphere: a real-time stock analysis agent with instruction-tuned large language models and domain-specific tool integration,T,0,open-weight general-purpose,open-weight,single-model homogeneous,weak mention,exact,The core model is Qwen2-72B with domain tuning; comparisons exist
A055,Language Model Orchestrated Financial Agents: An Open-Source Framework,T,0,mixed,mixed,multi-model heterogeneous,none,partial,FinRobot is framework-rich and explicitly multi-model
A059,RA-CFGPT: Chinese financial assistant with retrieval-augmented large language model,T,0,finance-specialized,open-weight,multi-model heterogeneous,none,exact,The paper clearly names CFGPT and Moss components
A065,Customized FinGPT Search Agents Using Foundation Models,T,0,mixed,mixed,multi-model heterogeneous,explicit comparison,exact,This is one of the better tool-assisted cases for comparing multiple underlying models on the same financial search-agent task family.
A067,FinMCP-Bench: Benchmarking LLM Agents for Real-World Financial Tool Use under the Model Context Protocol,T,0,open-weight general-purpose,open-weight,multi-model heterogeneous,explicit comparison,exact,Benchmark rather than single system
A068,Adaptive LLM-based multi-agent systems to enhance quantitative trading performance,A,2,unspecified,unspecified,unspecified,none,vague,The organizational trading architecture is stronger than the reporting of the underlying model layer.
A069,Can Large Language Models Effectively Process and Execute Financial Trading Instructions?,T,0,mixed,mixed,multi-model heterogeneous,explicit comparison,exact,Execution-adjacent benchmark comparing multiple underlying models on the same instruction-processing task.
A070,AlphaAgent: LLM-Driven Alpha Mining with Regularized Exploration to Counteract Alpha Decay,A,2,general-purpose proprietary,closed-source/API-based,single-model homogeneous,none,partial,System-level evidence is strong
A071,Toward a unified agentic framework for regime-aware portfolio optimization with LLM signals,A,2,finance-specialized,open-weight,single-model homogeneous,none,partial,The FinBERT-centered controller is clearly legible
A072,FactorMAD: A Multi-Agent Debate Framework Based on Large Language Models for Interpretable Stock Alpha Factor Mining,A,2,general-purpose proprietary,closed-source/API-based,single-model homogeneous,none,exact,Uses GPT-4o 2024-08-06 explicitly as the debate-model substrate; strong architecture ablation but no cross-model comparison.
A073,LLM-Guided Evolutionary Strategy Generation for Quantitative Trading,A,1,unspecified,unspecified,unspecified,none,vague,"The full text sharpens the evolutionary loop, but the exact underlying model driving the core system remains under-specified."
A074,GWise: A Graph-Structured Multi-Agent Framework for Service-Oriented and Generative-AI-Enabled Financial Trading Analytics,A,1,mixed,mixed,multi-model heterogeneous,weak mention,exact,One of the clearest heterogeneous allocations in the corpus: DeepSeek-R1-7B plus GPT-4o-mini/GPT-4o assigned to distinct crews and orchestration roles.
A075,TradingGroup: A Multi-Agent Trading System with Self-Reflection and Data-Synthesis,A,2,open-weight general-purpose,open-weight,single-model homogeneous,weak mention,exact,Uses Qwen3-8B with PEFT and compares against the untuned base model
A076,AlphaQuanter: An End-to-End Tool-Orchestrated Agentic Reinforcement Learning Framework for Stock Trading,A,2,open-weight general-purpose,open-weight,single-model homogeneous,architecture-controlled comparison,exact,One of the strongest cases: the same architecture is trained and analyzed across Qwen2.5-3B and 7B with additional cross-model baselines.
A077,Toward Expert Investment Teams: A Multi-Agent LLM System with Fine-Grained Trading Tasks,A,1,unspecified,unspecified,unspecified,none,partial,Task granularity is richly analyzed
A078,R&D-Agent-Quant: A Multi-Agent Framework for Data-Centric Factors and Model Joint Optimization,A,2,general-purpose proprietary,closed-source/API-based,multi-model heterogeneous,architecture-controlled comparison,exact,"Compares GPT-4o, o3-mini, and o4-mini within the same R&D-agent workflow, making it one of the strongest model-layer sensitivity cases in the frontier."
A079,Automate Strategy Finding with LLM in Quant Investment,A,2,general-purpose proprietary,closed-source/API-based,single-model homogeneous,none,partial,"GPT-4o is explicitly used in the seed-alpha generation stage, but the full model layer is still not pinned down role by role."
A081,Multi-Agent LLM Framework for Formulaic Alpha Generation and Selection in Quantitative Trading,A,1,mixed,mixed,multi-model heterogeneous,architecture-controlled comparison,exact,A081 is a rare frontier case with explicit role-to-model allocation and direct comparisons across model pairings within the same overall generation-selection framework.
A082,StockBench: Can LLM Agents Trade Stocks Profitably In Real-world Markets?,T,1,mixed,mixed,single-model homogeneous,explicit comparison,exact,Full-text-audited trading benchmark over 20 DJIA stocks and 82 days; compares open-weight and closed-source models under one fixed workflow rather than varying architecture.
