record_id,title,reviewer1_system_type,reviewer2_system_type,adjudicated_system_type,reviewer1_tier,reviewer2_tier,adjudicated_tier,reviewer1_zi,reviewer2_zi,adjudicated_zi,reviewer1_underlying_model_release_type,reviewer2_underlying_model_release_type,adjudicated_underlying_model_release_type,archetype,adjudication_note
A001,Integrating Stock Features and Global Information via Large Language Models for Enhanced Stock Return Prediction,N,N,N,2,2,2,11110,11110,11110,open-weight,open-weight,open-weight,Context-to-decision,freeze label retained
A002,Complex forecasting and investment strategy optimization via chain-of-thought of large language models,N,N,N,1,2,1,11110,11110,11110,closed-source/API-based,closed-source/API-based,closed-source/API-based,Context-to-decision,mismatch reviewed conservatively; freeze label retained
A003,ChronosRL: embeddings-based reinforcement learning agent for financial trading,N,T,N,1,1,1,01110,01110,01110,open-weight,open-weight,open-weight,Context-to-decision,mismatch reviewed conservatively; freeze label retained
A004,Decision-informed Neural Networks with Large Language Model Integration for Portfolio Optimization,N,T,N,2,2,2,11110,11110,11110,unspecified,unspecified,unspecified,Context-to-decision,mismatch reviewed conservatively; freeze label retained
A005,Large investment model,N,A,N,0,0,0,00011,00011,00011,unspecified,unspecified,unspecified,Context-to-decision,mismatch reviewed conservatively; freeze label retained
A006,FinReasoner: A Lightweight LLM Framework for Financial Forecasting,N,N,N,1,1,1,01110,01110,01110,unspecified,unspecified,unspecified,Context-to-decision,freeze label retained
A007,LLM-Enhanced Black-Litterman Portfolio Optimization,N,T,N,2,2,2,11110,11110,11110,open-weight,open-weight,open-weight,Context-to-decision,mismatch reviewed conservatively; freeze label retained
A008,Sentiment-Aware Portfolio Optimization: CVaR-Based Diversification With Deep Reinforcement Learning,N,T,N,2,2,2,11110,11110,11110,open-weight,open-weight,open-weight,Context-to-decision,mismatch reviewed conservatively; freeze label retained
A009,AI Oracle: A Blockchain-Powered Oracle for LLMs and AI Agents,T,T,T,1,2,1,11111,11111,11111,unspecified,unspecified,unspecified,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A010,A Comprehensive Survey of AI Agent Frameworks and Their Applications in Financial Services,N,A,N,0,0,0,00001,00001,00001,unspecified,unspecified,unspecified,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A011,Extending the FAIR Framework: Financial Agentic Systems,N,T,N,0,1,0,10111,10111,10111,unspecified,unspecified,unspecified,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A012,Agentic Artificial Intelligence in Finance: A Comprehensive Survey,N,A,N,0,0,0,00001,00001,00001,unspecified,unspecified,unspecified,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A013,ProFiT: Program Search for Financial Trading,A,A,A,2,2,2,11111,11111,11111,unspecified,unspecified,unspecified,Evaluator-coupled artifact search,freeze label retained
